date,path,count
2026-09-17,__total__,117
2026-09-17,/,36
2026-09-17,/documents/declaration-of-independence.html,18
2026-09-17,/documents/preamble-to-the-constitution.html,19
2026-09-17,/documents/bill-of-rights.html,14
2026-09-17,/documents/founding-documents-set.html,9
2026-09-17,/press.html,5
2026-09-17,/classroom.html,5
2026-09-17,/journal/,6
2026-09-17,/documents/well-done-is-better-than-well-said.html,4
2026-09-18,__total__,91
2026-09-18,/,25
2026-09-18,/documents/declaration-of-independence.html,18
2026-09-18,/documents/preamble-to-the-constitution.html,15
2026-09-18,/documents/bill-of-rights.html,11
2026-09-18,/documents/founding-documents-set.html,7
2026-09-18,/press.html,7
2026-09-18,/classroom.html,5
2026-09-18,/journal/,3
2026-09-19,__total__,52
2026-09-19,/,17
2026-09-19,/documents/declaration-of-independence.html,11
2026-09-19,/documents/preamble-to-the-constitution.html,7
2026-09-19,/documents/bill-of-rights.html,4
2026-09-19,/documents/founding-documents-set.html,5
2026-09-19,/press.html,1
2026-09-19,/classroom.html,4
2026-09-19,/journal/,3
2026-09-20,__total__,89
2026-09-20,/,24
2026-09-20,/documents/declaration-of-independence.html,15
2026-09-20,/documents/preamble-to-the-constitution.html,12
2026-09-20,/documents/bill-of-rights.html,7
2026-09-20,/documents/founding-documents-set.html,6
2026-09-20,/press.html,5
2026-09-20,/classroom.html,3
2026-09-20,/journal/,5
2026-09-20,/documents/well-done-is-better-than-well-said.html,5
2026-09-21,__total__,94
2026-09-21,/,31
2026-09-21,/documents/declaration-of-independence.html,19
2026-09-21,/documents/preamble-to-the-constitution.html,11
2026-09-21,/documents/bill-of-rights.html,9
2026-09-21,/documents/founding-documents-set.html,6
2026-09-21,/press.html,8
2026-09-21,/classroom.html,4
2026-09-21,/journal/,6
2026-09-22,__total__,44
2026-09-22,/,16
2026-09-22,/documents/declaration-of-independence.html,10
2026-09-22,/documents/preamble-to-the-constitution.html,8
2026-09-22,/documents/bill-of-rights.html,2
2026-09-22,/documents/founding-documents-set.html,5
2026-09-22,/documents/well-done-is-better-than-well-said.html,3
2026-09-23,__total__,80
2026-09-23,/,25
2026-09-23,/documents/declaration-of-independence.html,17
2026-09-23,/documents/preamble-to-the-constitution.html,8
2026-09-23,/documents/bill-of-rights.html,10
2026-09-23,/documents/founding-documents-set.html,9
2026-09-23,/press.html,7
2026-09-23,/classroom.html,4
2026-09-24,__total__,61
2026-09-24,/,16
2026-09-24,/documents/declaration-of-independence.html,12
2026-09-24,/documents/preamble-to-the-constitution.html,8
2026-09-24,/documents/bill-of-rights.html,4
2026-09-24,/documents/founding-documents-set.html,4
2026-09-24,/press.html,2
2026-09-24,/classroom.html,6
2026-09-24,/journal/,2
2026-09-24,/documents/well-done-is-better-than-well-said.html,1
2026-09-25,__total__,71
2026-09-25,/,21
2026-09-25,/documents/declaration-of-independence.html,9
2026-09-25,/documents/preamble-to-the-constitution.html,6
2026-09-25,/documents/bill-of-rights.html,7
2026-09-25,/documents/founding-documents-set.html,7
2026-09-25,/press.html,7
2026-09-25,/journal/,3
2026-09-25,/documents/well-done-is-better-than-well-said.html,1
2026-09-26,__total__,66
2026-09-26,/,20
2026-09-26,/documents/declaration-of-independence.html,12
2026-09-26,/documents/preamble-to-the-constitution.html,9
2026-09-26,/documents/bill-of-rights.html,7
2026-09-26,/documents/founding-documents-set.html,3
2026-09-26,/press.html,1
2026-09-26,/classroom.html,2
2026-09-27,__total__,80
2026-09-27,/,22
2026-09-27,/documents/declaration-of-independence.html,12
2026-09-27,/documents/preamble-to-the-constitution.html,9
2026-09-27,/documents/bill-of-rights.html,8
2026-09-27,/documents/founding-documents-set.html,6
2026-09-27,/press.html,5
2026-09-27,/classroom.html,1
2026-09-27,/journal/,6
2026-09-27,/documents/well-done-is-better-than-well-said.html,4
2026-09-28,__total__,77
2026-09-28,/,25
2026-09-28,/documents/declaration-of-independence.html,15
2026-09-28,/documents/preamble-to-the-constitution.html,12
2026-09-28,/documents/bill-of-rights.html,4
2026-09-28,/documents/founding-documents-set.html,3
2026-09-28,/press.html,4
2026-09-28,/classroom.html,2
2026-09-28,/journal/,1
2026-09-28,/documents/well-done-is-better-than-well-said.html,5
