date,referrer,count
2026-09-17,direct,17
2026-09-17,pinterest.com,20
2026-09-17,etsy.com,6
2026-09-17,instagram.com,10
2026-09-17,google.com,3
2026-09-17,tiktok.com,3
2026-09-18,direct,14
2026-09-18,pinterest.com,14
2026-09-18,etsy.com,10
2026-09-18,instagram.com,5
2026-09-18,google.com,4
2026-09-19,direct,17
2026-09-19,pinterest.com,27
2026-09-19,etsy.com,5
2026-09-19,instagram.com,4
2026-09-19,google.com,3
2026-09-19,tiktok.com,4
2026-09-20,direct,10
2026-09-20,pinterest.com,23
2026-09-20,etsy.com,5
2026-09-20,instagram.com,4
2026-09-20,google.com,1
2026-09-20,tiktok.com,1
2026-09-21,direct,16
2026-09-21,pinterest.com,24
2026-09-21,etsy.com,9
2026-09-21,instagram.com,5
2026-09-21,google.com,4
2026-09-21,tiktok.com,4
2026-09-22,direct,14
2026-09-22,pinterest.com,12
2026-09-22,etsy.com,7
2026-09-22,instagram.com,9
2026-09-22,google.com,4
2026-09-22,tiktok.com,3
2026-09-23,direct,11
2026-09-23,pinterest.com,17
2026-09-23,etsy.com,6
2026-09-23,instagram.com,10
2026-09-23,google.com,4
2026-09-23,tiktok.com,2
2026-09-24,direct,15
2026-09-24,pinterest.com,14
2026-09-24,etsy.com,6
2026-09-24,instagram.com,5
2026-09-24,google.com,5
2026-09-25,direct,11
2026-09-25,pinterest.com,20
2026-09-25,etsy.com,5
2026-09-25,instagram.com,4
2026-09-25,google.com,6
2026-09-25,tiktok.com,4
2026-09-26,direct,17
2026-09-26,pinterest.com,21
2026-09-26,etsy.com,4
2026-09-26,instagram.com,3
2026-09-26,google.com,4
2026-09-26,tiktok.com,1
2026-09-27,direct,11
2026-09-27,pinterest.com,14
2026-09-27,etsy.com,7
2026-09-27,instagram.com,5
2026-09-27,google.com,8
2026-09-27,tiktok.com,2
2026-09-28,direct,16
2026-09-28,pinterest.com,18
2026-09-28,etsy.com,4
2026-09-28,instagram.com,8
2026-09-28,google.com,1
2026-09-28,tiktok.com,5
