Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
declaration-of-independence,The Declaration of Independence,"<p><em>Set in Caslon, the type of the broadside John Dunlap ran on the night of July 4, 1776. The truths held self-evident, monumental — every word from the National Archives.</em></p><p>On the night of July 4, 1776, the printer John Dunlap set the Declaration in Caslon and ran roughly two hundred broadsides before dawn. This sheet sets the truths the nation was founded on — monumental, in two inks, after the Dunlap setting — every word from the National Archives transcription of the engrossed copy. Printed on our own press in Austin, Texas.</p><table><tr><td><strong>Source</strong></td><td>National Archives, engrossed copy</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon, as in 1776</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 18 x 24 · also 24 x 36</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"documents, broadside, printed in austin",TRUE,Tier,Digital download,TB-DOC-DECL-DIG,0,deny,manual,9.00,FALSE,TRUE,https://thomasbroadside.co/art/declaration-of-independence.jpg,1,"The Declaration of Independence — 'We hold these truths to be self-evident' set monumental in Caslon, black and red","The Declaration of Independence — broadside, printed in Austin, TX","Set in Caslon, the type of the broadside John Dunlap ran on the night of July 4, 1776. The truths held self-evident, monumental — every word from the National Archives.",active
declaration-of-independence,,,,,,,Tier,Press print,TB-DOC-DECL-PRT,700,deny,manual,46.00,TRUE,TRUE,,,,,,
declaration-of-independence,,,,,,,Tier,Numbered edition,TB-DOC-DECL-EDN,1100,deny,manual,175.00,TRUE,TRUE,,,,,,
preamble-to-the-constitution,Preamble to the Constitution,"<p><em>Fifty-two words and one sentence, set the way the engrossers meant it to be read.</em></p><p>The Preamble is fifty-two words and one sentence. We set it that way on purpose: one measure, one thought, the great opening words display-sized as the engrossing clerk wrote them. Text from the National Archives transcription.</p><table><tr><td><strong>Source</strong></td><td>National Archives, engrossed copy</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 18 x 24</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"documents, broadside, printed in austin",TRUE,Tier,Digital download,TB-DOC-PREA-DIG,0,deny,manual,9.00,FALSE,TRUE,https://thomasbroadside.co/art/preamble-to-the-constitution.jpg,1,Preamble to the Constitution — typeset broadside,"Preamble to the Constitution — broadside, printed in Austin, TX","Fifty-two words and one sentence, set the way the engrossers meant it to be read.",active
preamble-to-the-constitution,,,,,,,Tier,Press print,TB-DOC-PREA-PRT,700,deny,manual,44.00,TRUE,TRUE,,,,,,
preamble-to-the-constitution,,,,,,,Tier,Numbered edition,TB-DOC-PREA-EDN,1100,deny,manual,165.00,TRUE,TRUE,,,,,,
bill-of-rights,The Bill of Rights,"<p><em>The ten amendments ratified in 1791, set in two columns like the session laws they were.</em></p><p>All ten amendments ratified December 15, 1791, from the National Archives transcription, set in two columns in Caslon. The full sheet carries Amendments I through X; the excerpt above shows the first three.</p><table><tr><td><strong>Source</strong></td><td>National Archives, ratified 1791</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 24 x 36 · also 18 x 24</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"documents, broadside, printed in austin",TRUE,Tier,Digital download,TB-DOC-BILL-DIG,0,deny,manual,9.00,FALSE,TRUE,https://thomasbroadside.co/art/bill-of-rights.jpg,1,The Bill of Rights — typeset broadside,"The Bill of Rights — broadside, printed in Austin, TX","The ten amendments ratified in 1791, set in two columns like the session laws they were.",active
bill-of-rights,,,,,,,Tier,Press print,TB-DOC-BILL-PRT,700,deny,manual,46.00,TRUE,TRUE,,,,,,
bill-of-rights,,,,,,,Tier,Numbered edition,TB-DOC-BILL-EDN,1100,deny,manual,175.00,TRUE,TRUE,,,,,,
washingtons-farewell-address,Washington's Farewell Address,"<p><em>The counsel of the first President on his way out the door, 1796.</em></p><p>An excerpt from the Farewell Address as published September 19, 1796, verified against the Library of Congress text. Source, date, and document are set on the sheet itself — every quote cited.</p><table><tr><td><strong>Source</strong></td><td>Farewell Address, September 1796 · Library of Congress</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 24 x 18 (landscape)</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"documents, broadside, printed in austin",TRUE,Tier,Digital download,TB-DOC-FARE-DIG,0,deny,manual,9.00,FALSE,TRUE,https://thomasbroadside.co/art/washingtons-farewell-address.jpg,1,Washington's Farewell Address — typeset broadside,"Washington's Farewell Address — broadside, printed in Austin, TX","The counsel of the first President on his way out the door, 1796.",active
